InterventionType,InterventionName_lower,Freq
Other,laughter theraphy,1
Other,labs,1
Other,laboratory test positive for sars-cov-2 virus,1
Other,kinesiotherapy protocol,1
Radiation,low-dose radiotherapy,1
Other,ketogenic diet,1
Other,kb109 + self supportive care,1
Other,kaplan meier analysis,1
Other,inspiratory + expiratory muscle training group,1
Other,inhaled supplemental oxygen,1
Other,hospitalization for premature birth,1
Other,"immune response monitoring , blood samples",1
Other,ier-r (posttraumatic stress),1
Other,identification of genetic variants,1
Other,icu recovery + physical therapy,1
Other,ice swimming,1
Other,"hypoxia : 14.3 and 12.7% fio2, hypercapnia 7% co2, inspiratory mechanical constraint",1
Other,hypothermia via cooling machine- arctic sun 5000,1
Other,hypertension,1
Other,hyperbaric oxygen therapy,1
Other,hyper immunoglobulins containing anti-corona vs2 immunoglobulin,1
Other,hydroxychloroquine/chloroquine,1
Other,hydrogen peroxide (b) mouth rinse with the solution provided,1
Other,human milk donors,1
Other,"human coach first, then virtual assistant",1
Other,host immune factors,1
Other,host genotype,1
Other,hospitalized patients for covid-19 infection,1
Other,hospitalized children with covid19,1
Other,ilr implantation,1
Other,impact event score,1
Other,inhalation of n-acetylcysteine,1
Other,impact of event scale-revised,1
Other,"inhalation of 8,4% sodium bicarbonate",1
Other,inhalation of 5% sodium chloride,1
Other,infusion placebo,1
Other,infrared energy and dietary supplement,1
Other,informed consent,1
Other,information on covid-19,1
Other,inflammatory cytokines and chemokines profiles of patients with dexmedetomidine administration,1
Other,infectious disease and cardiology clinical consultations,1
Other,individualized-chinese herbal medicine,1
Other,individualised ayurveda,1
Other,incidence of bleeding complications in ards patients on veno-venous ecmo,1
Other,incentive spirometer/respiratory exerciser,1
Other,in-person monitoring,1
Other,in-hospital mortality rate,1
Other,in vivo brain pet-tspo acquisitions,1
Other,impliminting online distance learning,1
Other,impact of respiratory isolation on quality of life,1
Other,chlorine dioxide,1
Drug,canakinumab 150 mg/ml [ilaris],1
Drug,desferal 500 mg injection,1
Biological,microbiome spray,1
Biological,mrna covid-19 vaccine,1
Biological,mrna covd19 vaccine,1
Biological,monitoring of the immune response,1
Biological,mon002,1
Biological,moderna mrna-1273 vaccine,1
Biological,"moderna covid-19 vaccine, mrna-1273 (100 μg)",1
Biological,moderna,1
Biological,mmr vaccine,1
Biological,mf59 adjuvanted sars-cov-2 sclamp vaccine 5mcg,1
Biological,natural killer cells infusion,1
Biological,mf59 adjuvanted sars-cov-2 sclamp vaccine 45mcg,1
Biological,mf59 adjuvanted sars-cov-2 sclamp vaccine 15mcg,1
Biological,mesencure,1
Biological,mesenchymal stromal cells infusion,1
Biological,mesenchymal stem cells transplantation,1
Biological,mesenchymal stem cells derived from wharton jelly of umbilical cords,1
Biological,mesenchymal stem cell therapy,1
Biological,mesenchymal cells,1
Biological,mrna-1273 sars-cov-2 vaccine,1
Biological,mrna-1273 sars-cov-2 vaccine from moderna,1
Biological,mrna-1273 vaccine,1
Biological,mrna-1273.211,1
Biological,nasopharyngeal swabs,1
Biological,nasopharyngeal swab,1
Biological,n-803,1
Biological,mvc-cov1901(saline),1
Biological,mvc-cov1901(s protein with adjuvant),1
Biological,mvc-cov1901(mid-dose),1
Biological,mvc-cov1901 (high-dose),1
Biological,mvc-cov1901,1
Biological,mva-sars-2-st,1
Biological,mva-sars-2-s vaccinations (days 0 & 28),1
Biological,multistem,1
Biological,multiple doses of anti-sars-cov-2 convalescent plasma,1
Biological,multipeptide cocktail,1
Biological,mscs-derived exosomes,1
Biological,mscs,1
Biological,msc treatment,1
Biological,mrna-1283,1
Biological,menacwy vaccine,1
Biological,menacwy single dose + paracetamol,1
Biological,menacwy prime & saline placebo boost + paracetamol,1
Biological,lilly bamlanivimab,1
Biological,licensed seasonal influenza vaccine,1
Biological,licensed covid-19 vaccine,1
Biological,lanadelumab,1
Biological,koçak-19 inaktif adjuvanlı covid-19 vaccine 6 µg/0.5 ml vaccine,1
Biological,koçak-19 inaktif adjuvanlı covid-19 vaccine 4 µg/0.5 ml vaccine,1
Biological,kds-1000,1
Biological,kamada anti-sars-cov-2,1
Biological,jnj-78436735,1
Biological,ixekizumab,1
Biological,"investigational vaccine against sars-cov-2 [mv-014-212] dosage 3, two doses, intranasal drops",1
Biological,"investigational vaccine against sars-cov-2 [mv-014-212] dosage 3, single dose, intranasal spray",1
Biological,"investigational vaccine against sars-cov-2 [mv-014-212] dosage 3, single dose, intranasal drops",1
Biological,"investigational vaccine against sars-cov-2 [mv-014-212] dosage 2, single dose, intranasal drops",1
Biological,"investigational vaccine against sars-cov-2 [mv-014-212] dosage 1, single dose, intranasal drops",1
Biological,intravenous infusions of stem cells,1
Biological,intravenous immunoglobulin therapy,1
Biological,intravenous immune globulin,1
Biological,ligilactobacillus salivarius mp101,1
Biological,lilly bamlanivimab + etesevimab,1
Biological,menacwy boost,1
Biological,liquid alpha1-proteinase inhibitor (human),1
Biological,menacwy,1
Biological,medium dosage inactivated sars-cov-2 vaccine on a 0- and 14-day schedule,1
Biological,matching placebo,1
Biological,ly3819253,1
Biological,low-dose recombinant sars-cov-2 vaccine (cho cell),1
Biological,low-dose recombinant covid-19 vaccine (sf9 cells) (60-85 years) & two dose regimen,1
Biological,low-dose recombinant covid-19 vaccine (sf9 cells) (60-85 years) & three dose regimen,1
Biological,low-dose recombinant covid-19 vaccine (sf9 cells) (18-59 years) & two dose regimen,1
Biological,low-dose recombinant covid-19 vaccine (sf9 cells) (18-59 years) & three dose regimen,1
Biological,low-dose placebo (60-85 years) & two dose regimen,1
Biological,low-dose placebo (60-85 years) & three dose regimen,1
Biological,low-dose placebo (18-59 years) & two dose regimen,1
Biological,low-dose placebo (18-59 years) & three dose regimen,1
Biological,low or upper respiratory tract sample,1
Biological,low dose of kbp-covid-19,1
Biological,low dosage inactivated sars-cov-2 vaccine on a 0- and 14-day schedule,1
Biological,longeveron mesenchymal stem cells (lmscs),1
Biological,nasovax,1
Biological,nbp2001 adjuvanted with alum (rbd 30μg/dose),1
Biological,respiratory infections,1
Biological,primary exposure status of pfizer-biontech covid-19 vaccine,1
Biological,qazcovid-in®-vaccine against covid-19,1
Biological,qazcovid-in® - covid-19 inactivated vaccine,1
Biological,ptx-covid19-b,1
Biological,psc-04,1
Biological,protrans®,1
Biological,prolastin,1
Biological,primepro™/ primemsk™,1
Biological,primepro,1
Biological,pneumococcal vaccine,1
Biological,nbp2001 adjuvanted with alum (rbd 50μg/dose),1
Biological,plasma from convalescent patients with covid-19,1
Biological,plasma from a volunteer donor,1
Biological,plasma exchange,1
Biological,plasma,1
Biological,placebo; 0.9% saline,1
Biological,placebo/aluminum adjuvant of inactivated sars-cov-2 vaccine,1
Biological,placebo vaccine,1
Biological,placebo spray,1
Biological,quadrivalent influenza vaccine (qiv),1
Biological,randomized booster,1
Biological,rapa-501-allo off-the-shelf therapy of covid-19,1
Biological,ravulizumab,1
Biological,"reporting of anosmia, ageusia and other clinical symptoms",1
Biological,regeneron casirivimab + imdevimab,1
Biological,rectal swab,1
Biological,recovered covid 19 patients plasma,1
Biological,recombinant two-component covid-19 vaccine (cho cell),1
Biological,recombinant sars-cov-2 ad5 vectored vaccine,1
Biological,recombinant novel coronavirus vaccine (adenovirus type 5 vector) for inhalation,1
Biological,recombinant novel coronavirus vaccine (adenovirus type 5 vector) 0.5ml,1
Biological,recombinant novel coronavirus vaccine (adenovirus type 5 vector) 0.3ml,1
Biological,recombinant novel coronavirus vaccine (adenovirus type 5 vector) -placebo,1
Biological,recombinant new coronavirus vaccine (cho cell) group,1
Biological,recombinant ndv vectored vaccine for sars-cov-2,1
Biological,recombinant interferon alfa-2b,1
Biological,recombinant human anti-sars-cov-2 monoclonal antibody(25mg/kg;50mg/kg;100mg/kg),1
Biological,recombinant ad5 vectored covid-19 vaccine,1
Biological,recently vaccination,1
Biological,rbd-based protein subunit vaccine (zf2001) against covid-19,1
Biological,placebo on a 0- and 14-day schedule,1
Biological,placebo for inhalation,1
Biological,placebo booster,1
Biological,oral polio vaccine + information,1
Biological,one covid-19 vaccine candidate (tmv-083) administration - high dose,1
Biological,omalizumab,1
Biological,octagam 10%,1
Biological,observational study: this registry data will provide more specific information about how people with blood cancer respond to covid-19 virus and/or a covid-19 vaccination.,1
Biological,nvx-cov2373,1
Biological,normal saline 0.9%,1
Biological,normal saline,1
Biological,non-convalescent plasma (control plasma),1
Biological,non-convalescent fresh frozen plasma (standard plasma),1
Biological,non applicable,1
Biological,"nk cells,il15-nk cells,nkg2d car-nk cells,ace2 car-nk cells,nkg2d-ace2 car-nk cells",1
Biological,nk cells,1
Biological,nitrate-deplete beetroot juice,1
Biological,ngm621,1
Biological,nestacell®,1
Biological,nebulized platelet lysate,1
Biological,ndv-hxp-s vaccine,1
Biological,one dose of bnt162b2 vaccine,1
Biological,other vaccine against sars-cov-2,1
Biological,placebo 2,1
Biological,otilimab,1
Biological,placebo 1,1
Biological,placebo - phase i,1
Biological,"placebo (two doses), priming",1
Biological,placebo (plasma-lyte 148),1
Biological,phosphate-buffered saline,1
Biological,pfizer-biontech covid-19 vaccine bnt162b2 (30 µg)( comirnaty®),1
Biological,pfizer-biontech covid-19 vaccine,1
Biological,pfizer comirnaty vaccine,1
Biological,pfizer,1
Biological,peripheral blood samples,1
Biological,pembrolizumab (mk-3475),1
Biological,peginterferon beta-1a,1
Biological,pathogen-specific aapc,1
Biological,pathogen reduced sars-cov-2 convalescent plasma,1
Biological,partially hla-matched sars-covsts,1
Biological,ozone auto-hemotherapy,1
Biological,oxford-astrazeneca covid-19 vaccine,1
Biological,intradermal injection of bcg vaccine,1
Biological,ino-4800,1
Biological,injection of secretome-mscs,1
Biological,covid-higiv,1
Biological,covishield,1
Biological,covigenix vax-001 placebo,1
Biological,covigenix vax-001,1
Biological,covigen 4.0 mg im or placebo im,1
Biological,covigen 2.0 mg im or placebo im,1
Biological,covigen 0.8 mg id or placebo id,1
Biological,covid19 vaccine,1
Biological,covid19 convalescent plasma infusion,1
Biological,covid-evax,1
Biological,injection and infusion of lv-smenp-dc vaccine and antigen-specific ctls,1
Biological,covid-19 vaccine moderna dispersion for injection - moderna biotech,1
Biological,covid-19 vaccine astrazeneca suspension for injection,1
Biological,covid-19 vaccination,1
Biological,covid-19 specific t cell derived exosomes (cstc-exo),1
Biological,"covid-19 inactive vaccine, recombinant human adenovirus serotype number 26, mrna vaccine",1
Biological,covid-19 exposure,1
Biological,covid-19 convalescent plasma treatment,1
Biological,covid-19 convalescent plasma (ccp) plus standard of care (soc),1
Biological,coviv only (1st and 2nd dose),1
Biological,coviv+iiv4; coviv+ppv23,1
Biological,covivac,1
Biological,cpg 1018/alum-adjuvanted scb-2019 vaccine,1
Biological,ds-5670a,1
Biological,dose finding phase (mtd),1
Biological,determination of covid-19 vacciantion efficacy,1
Biological,descartes 30,1
Biological,dental pulp mesenchymal stem cells,1
Biological,delns1-ncov-rbd laiv,1
Biological,decidual stromal cells (dsc),1
Biological,db-001,1
Biological,cyp-001,1
Biological,cynk-001,1
Biological,cvncov 6 μg,1
Biological,cvncov 12μg,1
Biological,cvncov 12 μg,1
Biological,ct-p59/placebo,1
Biological,ct-p59,1
Biological,csl760,1
Biological,csl324,1
Biological,covid-19 convalescent plasma (ccp),1
Biological,covid-19 convalescent hyperimmune plasma,1
Biological,covid-19,1
Biological,concentrate beetroot juice,1
Biological,comparable placebo,1
Biological,comirnaty - biontech manufacturing gmbh,1
Biological,"comirnaty (covid-19, mrna vaccine)",1
Biological,comirnaty,1
Biological,collection of blood samples in order to create a biocollection,1
Biological,collection of biological samples,1
Biological,cohort 3 hdt 301 vaccine,1
Biological,cohort 2 hdt 301 vaccine,1
Biological,cohort 1 hdt 301 vaccine,1
Biological,clbs119,1
Biological,ck0802,1
Biological,chulacov19 mrna vaccine,1
Biological,chadv68-s-tce,1
Biological,chadv68-s,1
Biological,chadox1-s [recombinant],1
Biological,chadox1 ncov-19 two dose + paracetamol,1
Biological,chadox1 ncov-19 single dose + paracetamol,1
Biological,completion of covid19 vaccine at least 4 weeks ago,1
Biological,control (albumin 5%),1
Biological,covid vaccines,1
Biological,convalescent anti-sars-cov-2 plasma,1
Biological,covid 19 convalescent plasma,1
Biological,covi-vac,1
Biological,covi-guard,1
Biological,covepit (ose13e),1
Biological,covaxin,1
Biological,covax-19™,1
Biological,covac-2,1
Biological,coronovac,1
Biological,coronavac vaccine,1
Biological,convp,1
Biological,convalescent plasma treatment,1
Biological,convalescent plasma transfusion,1
Biological,convalescent plasma of patients with covid-19,1
Biological,convalescent plasma infusion,1
Biological,convalescent plasma as therapy for covid-19 patients,1
Biological,convalescent plasma 2 units,1
Biological,convalescent plasma 1 unit,1
Biological,dupilumab,1
Biological,dvx201,1
Biological,emapalumab,1
Biological,hyperimmune plasma,1
Biological,human umbilical cord derived cd362 enriched mscs,1
Biological,human normal immunoglobulin (ivig),1
Biological,human cord tissue mesenchymal stromal cells,1
Biological,hmsc,1
Biological,hiv,1
Biological,high-titer covid-19 convalescent plasma (ht-ccp),1
Biological,high-titer convalescent covid-19 plasma (ccp1),1
Biological,high-titer anti-sars-cov-2 plasma,1
Biological,high-dose recombinant sars-cov-2 vaccine (cho cell),1
Biological,high-dose recombinant covid-19 vaccine (sf9 cells) (60-85 years) & two dose regimen,1
Biological,high-dose recombinant covid-19 vaccine (sf9 cells) (60-85 years) & three dose regimen,1
Biological,high-dose recombinant covid-19 vaccine (sf9 cells) (18-59 years) & two dose regimen,1
Biological,high-dose recombinant covid-19 vaccine (sf9 cells) (18-59 years) & three dose regimen,1
Biological,high-dose placebo (60-85 years) & two dose regimen,1
Biological,high-dose placebo (60-85 years) & three dose regimen,1
Biological,high-dose placebo (18-59 years) & two dose regimen,1
Biological,high-dose placebo (18-59 years) & three dose regimen,1
Biological,human umbilical cord mesenchymal stem cells + best supportive care,1
Biological,"ic14, a monoclonal antibody against cd14",1
Biological,high dosage inactivated sars-cov-2 vaccine on a 0- and 14-day schedule,1
Biological,iibr-100 high-dose (prime),1
Biological,infusion iv of mesenchymal stem cells,1
Biological,inactive sars-cov-2 vaccine (vero cell),1
Biological,inactivated sars-cov-2 vaccine (vero cell）,1
Biological,inactivated sars cov 2 vaccine (vero cell) wuhan/beijing/placebo,1
Biological,in01 vaccine,1
Biological,immunoglobulin,1
Biological,immune response characterization,1
Biological,immune plasma,1
Biological,imm-101,1
Biological,imdevimab,1
Biological,iiv4 for the 1st dose and ppv23 for the 2nd dose,1
Biological,"iibr-100, low dose (prime)",1
Biological,iibr-100 top-dose (prime-boost),1
Biological,iibr-100 medium-dose (prime-boost),1
Biological,iibr-100 medium dose (prime),1
Biological,iibr-100 low-dose (prime-boost),1
Biological,iibr-100 high-dose (prime-boost),1
Biological,high dose of kbp-covid-19,1
Biological,hepatitis a vaccine,1
Biological,eq001,1
Biological,gam-covid-vac lyo,1
Biological,fluvirin,1
Biological,flucelvax,1
Biological,flu shot,1
Biological,ffp,1
Biological,f-652,1
Biological,exposure to covid-19,1
Biological,experimental group,1
Biological,exg-5003,1
Biological,exchange blood transfusion from normal donor,1
Biological,ex vivo expanded wharton's jelly mesenchymal stem cells,1
Biological,evaluation of the immunogenicity of the vaccine in haemodialysis patients,1
Biological,eucorvac-19,1
Biological,erucov-vac 6 µg/0.5 ml vaccine,1
Biological,erucov-vac 3 µg/0.5 ml vaccine,1
Biological,erucov-vac,1
Biological,equine covid-19 antiserum,1
Biological,eq001 placebo,1
Biological,fluzone high dose,1
Biological,gamunex-c,1
Biological,had5-s-fusion+n-etsd (suspension for injection),1
Biological,"garadacimab, factor xiia antagonist monoclonal antibody",1
Biological,group b (placebo),1
Biological,group b (ag0302-covid19),1
Biological,group a (placebo),1
Biological,group a (ag0302-covid19),1
Biological,gls-5310,1
Biological,gc5131,1
Biological,gbp510 adjuvanted with as03 (rbd 25μg/dose)- stage 2,1
Biological,gbp510 adjuvanted with as03 (rbd 25μg/dose) - stage 1,1
Biological,gbp510 adjuvanted with as03 (rbd 10μg/dose) - stage 2,1
Biological,gbp510 adjuvanted with as03 (rbd 10μg/dose) - stage 1,1
Biological,gbp510 adjuvanted with alum (rbd 25μg/dose)- stage 2,1
Biological,gbp510 adjuvanted with alum (rbd 25μg/dose) - stage 1,1
Biological,gbp510 adjuvanted with alum (rbd 10μg/dose) - stage 2,1
Biological,gbp510 adjuvanted with alum (rbd 10μg/dose) - stage 1,1
Biological,gbp510 (rbd 25μg/dose)- stage 2,1
Biological,gbp510 (rbd 25μg/dose) - stage 1,1
Biological,gbp510 (rbd 10μg/dose) - stage 1,1
Biological,rescure™,1
Biological,risankizumab,1
Biological,chadox1 ncov-19 full boost,1
Combination Product,stem cell educator-treated mononuclear cells apheresis,1
Device,actigraphy,1
Device,accuchek inform ii platform,1
Device,a 940-nm diode laser,1
Device,2019-ncov igg/igm rapid test cassette,1
Device,18f-fdg pet-ct,1
Combination Product,tomeka®,1
Combination Product,systemic treatment,1
Combination Product,stem cells,1
Combination Product,standard therapy for covid-19 patient,1
Device,bva-100,1
Combination Product,standard therapy,1
Combination Product,standard care,1
Combination Product,smoliv,1
Combination Product,shampoo and saline,1
Combination Product,shampoo and listerine,1
Combination Product,saline and saline,1
Combination Product,saline and listerine,1
Combination Product,respiratory rehabilitation,1
Device,active pbmt/smf,1
Device,adam sensor,1
Device,aerosol box (splashguard),1
Device,aerosol-reducing mask,1
Device,bone conduction headphones,1
Device,biovitals,1
Device,biosensors,1
Device,bidirectional oxygenation mouthpiece,1
Device,bedside lung ultrasound,1
Device,automated oxygen administration - freeo2,1
Device,auscul-x,1
Device,auricular percutaneous neurostimulation,1
Device,audio-visual triage system (avt),1
Device,assist,1
Device,arfc mask,1
Device,apple watch series 5,1
Device,anne one,1
Device,alexa amazon,1
Device,akl-t01,1
Device,airgo respiratory monitor,1
Device,airflo2,1
Combination Product,recombinant bacterial ace2 receptors -like enzyme of b38-cap (rbace2) plus aerosolized 13 cis retinoic acid,1
Combination Product,quinquina-stevia/azythromycin,1
Combination Product,purwet,1
Combination Product,immunofree tablets and reginmune capsule,1
Combination Product,hyperbaric oxygen,1
Combination Product,hydroxycloroquine and azythromycine,1
Combination Product,hydroxychloroquine/azithromycine,1
Combination Product,hydroxychloroquine sulfate + azithromycin,1
Combination Product,hydroxychloroquine plus nitazoxanide,1
Combination Product,hydroxychloroquine and azithromycin,1
Combination Product,hydroxychloroquine + azithromycin + / - tocilizumab,1
Combination Product,glutamine,1
Combination Product,furfat,1
Combination Product,favipiravir and hydroxychloroquine,1
Combination Product,drugs: na-831 (0.20 mg/kg) plus gs-5734 (2.00 mg/kg),1
Combination Product,drugs: na-831 (0.10 mg/kg) plus gs-5734 (1.00 mg/kg),1
Combination Product,cospherunate/phytomedicine/azythromycien,1
Combination Product,cospherunate/azythromycine,1
Combination Product,control group,1
Combination Product,comparable placebo of oral polio vaccine and placebo of drug,1
Combination Product,combination of oral polio vaccine and na-831,1
Combination Product,hyperbaric oxygen treatment (hbot) i.e. inhalation of pressurized oxygen delivered by a hyperbaric chamber (drug/device),1
Combination Product,inopulse,1
Combination Product,purphl,1
Combination Product,insulin film,1
Combination Product,purinf,1
Combination Product,purclo,1
Combination Product,purapo,1
Combination Product,placebo 0.20 mg + 2.00 mg/kg,1
Combination Product,placebo 0.10 mg + 1.00 mg/kg,1
Combination Product,placebo,1
Combination Product,observational (registry),1
Combination Product,nutrition consult and protein supplementation,1
Combination Product,no severe covid-19,1
Combination Product,na-831and dexamethasone,1
Combination Product,na-831 and atazanavir,1
Combination Product,"menthol 0.02%, methyl salicylate 0.05%, n- acetyl cysteine 1.2 gm%, and diclofenac sodium 1gm%",1
Combination Product,mefloquine + azithromycin + / - tocilizumab,1
Combination Product,js016 (anti-sars-cov-2 monoclonal antibody),1
Combination Product,"jinhua qinggan (jhqg) granules, traditional chinese medicine",1
Combination Product,ivermectin plus nitazoxanide,1
Combination Product,iota carrageenan nasal spray and ivermectin oral drops (used as buccal drops),1
Device,butterfly iq,1
Device,c2rx,1
Biological,rph-104 80 mg,1
Device,current ipac-uhn ppe,1
Device,dexcom g6,1
Device,device: physiomer undiluted seawater nasal spray,1
Device,device used to record voice for screening,1
Device,cytosorb-therapy,1
Device,cytosorb 300 ml device,1
Device,cytosorb,1
Device,cytokine hemadsorption,1
Device,cytokine adsorption,1
Device,current health,1
Device,c3+ holter monitor,1
Device,ct-v,1
Device,ct-imaging,1
Device,ct of the chest,1
Device,crp-apheresis,1
Device,cri management,1
Device,cpap treatment,1
Device,covx,1
Device,covvr,1
Device,dianose,1
Device,digital oximeter monitoring,1
Device,digivis visual acuity app,1
Device,direct laryngoscope,1
Device,ensoetm device,1
Device,emergency ventilator splitter,1
Device,ema + automated text message intervention,1
Device,elmo project at covid-19: proof of concept and usability,1
Device,electronic portable aromatic rehabilitation (epar) diffuser,1
Device,electrical stimulation - sham,1
Device,electrical stimulation,1
Device,electrical impedance tomography,1
Device,electric pad for human external pain therapy,1
Device,elecsys semi-quantitative anti-sars-cov-2 antibody test,1
Device,echocardiography,1
Device,ecco2r,1
Device,earsats pulse oximeter probe,1
Device,e-ink screen,1
Device,double-trunk mask,1
Device,doctor spot,1
Device,doctella telehealth monitoring,1
Device,covsurf drug delivery system,1
Device,covidfree@home,1
Device,covid-19 sars-cov igg/igm antibody rapid test,1
Device,connected devices measurements,1
Device,closed-loop control of oxygen supplementation by o2matic,1
Device,cliniporator® and epsgun,1
Device,cliniporator,1
Device,clinical decision support system based on non-invasive multimodal monitoring,1
Device,chatbot on covid-19 vaccine hesitancy,1
Device,cereset research,1
Device,cerebral compliance and hemodynamics monitoring,1
Device,centricyte 1000,1
Device,cbc-diff monocyte volume width distribution,1
Device,carragelose,1
Device,carrageenan nasal and throat spray,1
Device,cardiac and electrodermal recordings,1
Device,caption ai,1
Device,capillary blood glucose testing with masked cgm,1
Device,capillary and salivary sampling,1
Device,canswab,1
Device,calm meditation app,1
Device,cloth face mask,1
Device,continuous blind glucose measurement device (free style pro),1
Device,covid-19 barrier box,1
Device,continuous glucose monitor (cgm),1
Device,covid 19 on pregnancy outcomes,1
Device,cov-scan rapid covid-19 antigen test,1
Device,coronacheck device,1
Device,core warming,1
Device,cordio app,1
Device,conventional therapy first,1
Device,conventional oxygen therapy,1
Device,conventional n95 respirator,1
Device,conventional (low flow) oxygen delivery via nasal cannula,1
Device,control swab,1
Device,control group,1
Device,contrast-enhanced cmr,1
Device,continuous vital sign monitoring - isansys patient status engine,1
Device,continuous positive airway pressure (cpap) treatment,1
Device,continuous positive airway pressure (cpap) therapy using oxyjet,1
Device,continuous positive airway pressure,1
Device,"continuous glucose monitoring (cgm, dexcom g6)",1
Combination Product,co-ultrapealut,1
Combination Product,cardiovascular and respiratory systems monitoring,1
Combination Product,azithromycin with amoxicillin/clavulanate,1
Biological,sbi-101,1
Biological,serological covid-19 vaccine immunogenicity,1
Biological,"selenium, zinc and copper, vitamin a, d, e plasma concentrations during patient hospitalization",1
Biological,scta01 placebo,1
Biological,screening test for covid ( rt pcr and ct chest),1
Biological,scb-2019 with cpg 1018 adjuvant plus alum adjuvant,1
Biological,scb-2019 with as03 adjuvant,1
Biological,scb-2019,1
Biological,sc-ad6-1,1
Biological,sarscov2 convalescent plasma,1
Combination Product,azd7442,1
Biological,sars-cov2-ctls,1
Biological,sars-cov-2 vlp vaccine,1
Biological,sars-cov-2 virus vaccines,1
Biological,"sars-cov-2 vaccine(vero cell), inactivated",1
Biological,sars-cov-2 vaccine formulation 2 without adjuvant,1
Biological,sars-cov-2 vaccine formulation 2 with adjuvant 2,1
Biological,sars-cov-2 vaccine formulation 2 with adjuvant 1,1
Biological,sars-cov-2 vaccine formulation 1 with adjuvant 2,1
Biological,serological surveillance,1
Biological,serological test,1
Biological,serology sars-cov2,1
Biological,serology test,1
Biological,stool collection or fecal swab,1
Biological,standard-titer convalescent covid-19 plasma (ccp2),1
Biological,standard plasma (ffp),1
Biological,standard of care (soc) plus placebo,1
Biological,standard donor plasma,1
Biological,st266,1
Biological,sras-cov-2 vaccination immunological response,1
Biological,sputnik v,1
Biological,specific antibody and cellular immune response after anti-sars-cov-2 vaccine administration,1
Biological,specific anti-sars-cov-2 antibodies,1
Biological,soc plus 15mg/kg eb05 iv,1
Biological,sinopharm vaccine,1
Biological,sinopharm,1
Biological,"shingrix (zoster vaccine recombinant, adjuvanted)",1
Biological,serum tube collection,1
Biological,serum test,1
Biological,serology testing profiles description,1
Biological,sars-cov-2 vaccine formulation 1 with adjuvant 1,1
Biological,"sars-cov-2 vaccine (vero cells), inactivated",1
Biological,"sars-cov-2 vaccine (vero cell), inactivated",1
Biological,sars-cov-2 mrna vaccine formulation 2,1
Biological,sars-cov-2 mrna vaccine (cvncov),1
Biological,sars-cov-2 mrna vaccine,1
Biological,sars-cov-2 convalescent plasma treatment,1
Biological,sars-cov-2 antigen-specific cytotoxic t-lymphocytes,1
Biological,sars-cov-2 antibody based ivig therapy,1
Biological,sars-cov-2 adjuvanted recombinant protein vaccine (monovalent),1
Biological,sars-cov-2 adjuvanted recombinant protein vaccine (bivalent),1
Biological,sarilumab,1
Biological,sample,1
Biological,sam-lnp-s-tce,1
Biological,sam-lnp-s,1
Biological,saliva sample,1
Biological,saline placebo,1
Biological,saline control,1
Biological,saline containing 1% human serum albumin（solution without uc-mscs）,1
Biological,"sab-185 (3,840 units/kg)",1
Biological,"sab-185 (10,240 units/kg)",1
Biological,sars-cov-2 mrna vaccine formulation 1,1
Biological,sars-cov-2 mrna vaccine formulation 3,1
Biological,sars-cov-2 vaccine (inactivated),1
Biological,sars-cov-2 neutralizing antibody titer,1
Biological,sars-cov-2 vaccine,1
Biological,sars-cov-2 vaccination,1
Biological,sars-cov-2 specific t cells,1
Biological,sars-cov-2 rs/matrix-m1 adjuvant (initial vaccination period),1
Biological,sars-cov-2 rs/matrix-m1 adjuvant (crossover vaccination period),1
Biological,sars-cov-2 rs/matrix-m1 adjuvant,1
Biological,"sars-cov-2 rs/matrix-m adjuvant, days 0 and 21 - phase 2",1
Biological,"sars-cov-2 rs/matrix-m adjuvant, day 0 - phase 2",1
Biological,"sars-cov-2 rs/matrix-m adjuvant, day 0 - phase 1",1
Biological,sars-cov-2 rs/matrix-m adjuvant - phase 1,1
Biological,sars-cov-2 rs/matrix-m adjuvant - day 189 - phase 2,1
Biological,sars-cov-2 rs/matrix m1-adjuvant,1
Biological,sars-cov-2 rs - phase 1,1
Biological,sars-cov-2 recombinant protein vaccine formulation 3,1
Biological,sars-cov-2 recombinant protein vaccine formulation 2,1
Biological,sars-cov-2 recombinant protein vaccine formulation 1,1
Biological,sars-cov-2 non-immune plasma,1
Biological,stools,1
Biological,t memory cells and nk cells,1
Biological,t regulatory cells,1
Biological,vaxzevria,1
Biological,vaccine inoculation against sars-cov-2,1
Biological,vaccine bcg,1
Biological,vaccine anti-covid19,1
Biological,vaccination with janssen vaccine followed with pfizer vaccine (heterologous boosting).,1
Biological,vaccination with janssen vaccine followed with moderna vaccine (heterologous boosting).,1
Biological,vaccination with janssen vaccine followed with janssen vaccine (homologous boosting).,1
Biological,vaccination once with janssen vaccine (only priming),1
Biological,vaccinated with polio vaccine (ipv),1
Biological,v591,1
Biological,v590,1
Biological,v-sars,1
Biological,umbilical cord wharton's jelly-derived human,1
Biological,umbilical cord mesenchymal stem cells + heparin along with best supportive care.,1
Biological,umbilical cord mesenchymal stem cells,1
Biological,umbilical cord lining stem cells (ulsc),1
Biological,umbilical cord derived mesenchymal stem cells,1
Biological,ucmscs,1
Biological,vaccine therapy,1
Biological,vbi-2902a,1
Biological,"two doses of placebo at the schedule of day 0, 28（high-dose group）",1
Biological,vir-7831 (gen1),1
Combination Product,autologous activated platelet-rich plasma,1
Combination Product,atazanavir and dexamethasone,1
