InterventionName_lower,Freq
yinhu qingwen decoction(low dose),1
yinhu qingwen decoction,1
yin hu qing wen granula(low does),1
xylocaine,1
xvr011,1
xuanfei baidu granules,1
xlear nasal spray,1
zinc (placebo),1
zinc (zinc gluconate) & vitamin d (cholecalciferol),1
web based questionnaire,1
zofintm,1
γ-globulin,1
β-hydroxy β-methyl butyrate (hmb) enriched amino acid,1
"ıt will be compared pain, sleep, fatigue, physical activity level and quality of life and questioning exercise habits before and after the covid-19 outbreak in patients with behçet and fmf.",1
zyil1 capsule,1
zyesami™ (aviptadil acetate),1
zyesami (aviptadil acetate),1
zotatifin,1
zofin,1
zinc acetate,1
zithromax oral product,1
zinc sulfate 220 mg,1
zinc sulfate,1
zinc picolinate placebo,1
zinc picolinate,1
zinc gluconate and ascorbic acid,1
zinc citrate,1
xiyanping injection,1
xiang-sha-liu-jun formula,1
"xiamen wiz biotech co., ltd. sars-cov-2 antigen rapid test",1
weight counseling,1
white sender in acknowledgement,1
wharton's jelly derived mesenchymal stem cells.,1
wfi water nebulization,1
wfi 5% glucose,1
wellness education,1
well-being assessment,1
weight-based dexamethasone dose,1
weekly assessment,1
xcel-umc-beta,1
weck-cel swab collection,1
webex physical activity program,1
web-based survey,1
web-based redcap survey,1
web-based psychosocial peer-to-peer support,1
web-application,1
web embolization,1
white sender in informational videos,1
who recommendations (waiting condition),1
whole genome analysis,1
whoqol-bref,1
xc7 200 mg single,1
xc7 200 mg multiple,1
xc7 100 mg single,1
xc221,1
written summary of rounds,1
written information,1
work requirement exemption months,1
wofb,1
woebot substance use disorder,1
wj-mscs,1
without masks,1
withings scanwatch,1
wingate exercise test and on-ice testing while wearing a sham face mask,1
wingate exercise test and on-ice testing while wearing a face mask,1
whoqol-bref survey,1
video-based intervention,1
video-based,1
video text,1
ucmscs,1
ultrasound,1
ultrasonography,1
ultraprotective ventilation,1
ultra-low-dose radiotherapy,1
ultra brief online mindfulness-based intervention,1
ulinastatin,1
uexplorer/mct,1
typical surgical covered mask,1
ultrasound of the lower limbs,1
type ii diabetes mellitus and covid-19 group (group ii),1
tympanic temperature,1
"two doses of placebo at the schedule of day 0, 28（middle-dose group）",1
"two doses of placebo at the schedule of day 0, 28（high-dose group）",1
"two doses of placebo at the schedule of day 0, 14 #middle-dose group#",1
"two doses of placebo at the schedule of day 0, 14 #high-dose group#",1
two doses of placebo at the routine vaccination schedule,1
ultrasound lung imaging as part of fast+ evaluation,1
ultrasound using the telerobotic melody system,1
urine samples,1
unfractionated heparin sc,1
urine collection,1
"urinary ngal, timp-2, igfbp7, il-6, viral load and metabolomic",1
unsupervised physical activities,1
unikinon (chloroquine phosphate) 200mg tablets,1
uniform random message delivery,1
unified protocol for covid-19 parenting stress (up-covid),1
uni911 inhalation,1
unfractionated heparin nebulized,1
umbilical cord derived mesenchymal stem cells,1
unfractionated heparin iv,1
unavailable covid test result - hypothetical scenario,1
umifenovir,1
umbilical cord wharton's jelly-derived human,1
umbilical cord mesenchymal stem cells + heparin along with best supportive care.,1
umbilical cord mesenchymal stem cells,1
umbilical cord lining stem cells (ulsc),1
two doses of placebo at the emergency vaccination schedule,1
"two doses of pilot scale inactivated sars-cov-2 vaccine at the schedule of day 0,14 in elderly",1
"two doses of pilot scale inactivated sars-cov-2 vaccine at the schedule of day 0,14",1
tricor® 145mg tablets,1
tuberculin test,1
tsu,1
trust in science message,1
trivalent split influenza vaccine,1
trimodulin,1
trimetazidine,1
trier social stress test,1
triazavirin (riamilovir),1
"two doses of middle-dose recombinant sars-cov-2 vaccine (sf9 cell) at the schedule of day 0, 28",1
trial-based cognitive therapy,1
treatment with dexmedetomidine,1
"treatment group: will receive a combination of nitazoxanide, ribavirin and ivermectin for a duration of seven days :",1
treatment group,1
treatment for covid-19,1
treatment as usual vitamin d,1
treatment as usual (tau),1
turkish physicians,1
two covid-19 vaccine candidate (tmv-083) administrations - high dose,1
two covid-19 vaccine candidate (tmv-083) administrations - low dose,1
two dose chadox1 ncov-19/covishield 0.25ml & 0.5ml,1
"two doses of middle-dose recombinant sars-cov-2 vaccine (cho cell) at the schedule of day 0, 14",1
two doses of medium dosage inactivated sars-cov-2 vaccine at the routine vaccination schedule,1
two doses of medium dosage inactivated sars-cov-2 vaccine at the emergency vaccination schedule,1
"two doses of inactivated sars-cov-2 vaccine at the schedule of day 0,28 and one dose quadrivalent influenza vaccine on day 14.",1
"two doses of inactivated sars-cov-2 vaccine at the schedule of day 0,28 and one dose quadrivalent influenza vaccine on day 0 or day 28.",1
"two doses of high-dose recombinant sars-cov-2 vaccine (sf9 cell) at the schedule of day 0, 28",1
"two doses of high-dose recombinant sars-cov-2 vaccine (cho cell) at the schedule of day 0, 14",1
"two doses of high dosage inactivated sars-cov-2 vaccine at the schedule of day 0,28",1
two doses of high dosage inactivated sars-cov-2 vaccine at the routine vaccination schedule,1
two doses of high dosage inactivated sars-cov-2 vaccine at the emergency vaccination schedule,1
"two doses of commercial scale inactivated sars-cov-2 vaccine at the schedule of day 0,14",1
two doses of bnt162b2 vaccine,1
two dose menacwy vaccine min. 4 weeks apart,1
two dose menacwy vaccine,1
two dose chadox1 ncov-19/covishield 0.5ml,1
urine pregnancy test for women of childbearing potential,1
usb002,1
video dance classes,1
valsartan (diovan),1
vc,1
vbi-2902a,1
vb-201 + standard of care,1
vaxzevria,1
vascular surgery,1
vascular occlusion test,1
vas scale,1
valproate,1
vehicle + heparin along with best supportive care,1
validation of the poct antigen and antibody tests,1
validation of the ngs method,1
validation of the lamp assays,1
vaginal fluid covid-19 pcr test,1
vadadustat,1
vaccine therapy,1
vaccine inoculation against sars-cov-2,1
vcpm,1
venepuncture,1
use of continuous positive airway pressure,1
vib7734,1
video chat +personalized feedback,1
video chat + basic feedback,1
video call,1
video based exercise,1
video based aerobic exercise,1
video about safety and effectiveness of adult seasonal flu vaccination,1
vibrolung,1
vesta respirator,1
venipuncture in peripheral vein,1
verapamil,1
ventilatory support with oxygen therapy,1
ventaprost (inhaled epoprostenol delivered via a dedicated delivery system),1
venous draw & testing,1
venous blood was collected for biochemistry testing.,1
venous blood was collected for biochemistry testing,1
venous blood collection,1
vaccine coverage assessment,1
vaccine bcg,1
vaccine anti-covid19,1
usual antibiotic treatment,1
usual monitoring,1
usual emergency department practice with physician-directed diagnostic testing,1
"usual care, infection control briefing",1
usual care treatment,1
usual care positioning with no instructions,1
usual care only,1
usual care control,1
users,1
vaccine,1
use of virus (covid-19) genome sequence report to inform infection prevention control procedures,1
"use of the pinpointiq solution (physiq, inc.)",1
use of social media during covid-19,1
use of non-invasive ventilation,1
use of mobile application,1
use of high flow nasal cannula alone,1
use of facetime with child and parents during induction,1
usual orientations,1
usual treatments in intensive care unit according to the current state of knowledge,1
uttr1147a,1
uttr1147a-matched placebo,1
vaccination with janssen vaccine followed with pfizer vaccine (heterologous boosting).,1
vaccination with janssen vaccine followed with moderna vaccine (heterologous boosting).,1
vaccination with janssen vaccine followed with janssen vaccine (homologous boosting).,1
vaccination once with janssen vaccine (only priming),1
vaccination against covid19,1
vaccination,1
vaccinated with polio vaccine (ipv),1
vaccin box,1
vacciantion status in health care workers,1
v591,1
v590,1
v/q system,1
v/q spect-ct,1
v-sars,1
uv light treatment,1
study b,1
study a,1
racial/ethnic frame,1
saliva sampling,1
samling of oropharynx and nasopharynx,1
samba ii (diagnostic for the real world),1
sam-lnp-s-tce,1
sam-lnp-s,1
saliva-based testing,1
saliva test kit,1
saliva specimen,1
saliva sample combined to an anterior nare self-swabbing (self-samples),1
sample collection/performance evaluation (a),1
saliva sample (self-sample),1
saliva based assay: crude rna extraction,1
saliva assay,1
saliva and nps test,1
saline-sodium citrate (ssc) buffer,1
saline with baby shampoo nasal irrigation,1
saline placebo (single),1
sample,1
sample collection/performance evaluation (b),1
saline oral/nasal rinse,1
sarcopenia diagnosis,1
sars-cov 2 rna pcr urine,1
sars-cov 2 rna pcr semen,1
sars cov-2 swabs,1
sarilumab sar153191,1
sarilumab prefilled syringe,1
sarilumab 400 mg/2.28 ml subcutaneous solution [kevzara],1
sarilumab 200 mg/1.14 ml subcutaneous solution [kevzara],1
sar443122,1
sample of blood and saliva,1
sampling salivary,1
sampling of tissue,1
sampling of sars-cov-2 rna from nasopharyngeal swab specimen or saliva collected via salivette cortisol,1
sampling by venipuncture (and eventually by nasopharyngeal swab),1
"sampling (edta blood, pharyngeal and nose swabs, bronchoalveolar lavage ,urine)",1
sampling,1
sampler skills,1
saline placebo (double),1
saline nasal irrigation,1
scd,1
rosuvastatin,1
rt pcr,1
rph-104 80 mg,1
routine standard of care,1
routine psychological support,1
routine dental restorative procedures,1
routine care (no sars-covsts),1
roth´s test,1
robotic therapy,1
rt-pcr and antibody testing,1
robotic assisted intervention,1
robotic assisted early mobilization,1
robot assisted percutaneous cardiovascular intervention,1
roactemra sc,1
roactemra iv,1
ro7496998,1
rnapc2,1
rt pcr sars-cov-2,1
rt-pcr covid-19,1
saline nasal and throat spray,1
"sab-185 (3,840 units/kg)",1
saline control,1
saline containing 1% human serum albumin（solution without uc-mscs）,1
saline and saline,1
saline and listerine,1
saisei maf capsules,1
saint george respiratory questionnaire,1
sacubitril / valsartan oral tablet [entresto],1
"sab-185 (10,240 units/kg)",1
rt-pcr for sars-cov-2,1
"s-binding igg, rbd-binding igg and n-binding igg immunoassays and sars-cov-2 serum neutralization assay, quantitative serum immunoglobulin tests",1
s-1226,1
ruxolitinib plus simvastatin,1
ruxolitinib administration,1
ruxolitinib 5 mg,1
rt-qpcr test,1
rt-pcr sars-cov2,1
sars-cov-2 ab,1
sars-cov-2 adjuvanted recombinant protein vaccine (bivalent),1
sars-cov-2 adjuvanted recombinant protein vaccine (monovalent),1
"sars-cov-2 vaccine (vero cells), inactivated",1
sars-cov-2 viral composition,1
"sars-cov-2 vaccine(vero cell), inactivated",1
sars-cov-2 vaccine formulation 2 without adjuvant,1
sars-cov-2 vaccine formulation 2 with adjuvant 2,1
sars-cov-2 vaccine formulation 2 with adjuvant 1,1
sars-cov-2 vaccine formulation 1 with adjuvant 2,1
sars-cov-2 vaccine formulation 1 with adjuvant 1,1
"sars-cov-2 vaccine (vero cell), inactivated",1
sars-cov-2 vlp vaccine,1
sars-cov-2 vaccine (inactivated),1
sars-cov-2 vaccination,1
sars-cov-2 testing on the eppendorf thermal cycler pcr system using self-collected saliva as the specimen,1
sars-cov-2 testing,1
sars-cov-2 specific t cells,1
sars-cov-2 specific igm and igg detection,1
sars-cov-2 serological assessment (igg),1
sars-cov-2 virus vaccines,1
sars-cov-2-test,1
sars-cov-2 and/or mis-c exposure,1
savicell's immunobiopsy™,1
scb-2019 with as03 adjuvant,1
scb-2019,1
scarcity message,1
scarcity,1
scanning chest x-rays and performing ai algorithms on images,1
sc-ad6-1,1
sbi-101,1
satisfaction evaluation,1
sars-cov-2/influenza/rsv rt-pcr,1
sarscov2 convalescent plasma,1
sars-cov2-ctls,1
sars-cov2 serum antibody testing,1
sars-cov2 serology,1
sars-cov2 nasal swab,1
sars-cov2 autoantibody detection,1
sars-cov2 antibody measurement,1
sars-cov-2 screening by molecular biology,1
sars-cov-2 s1/s2 igg,1
sars-cov-2 rt-pcr assay for detection of covid-19 infection,1
sars-cov-2 ig g levels,1
sars-cov-2 mrna vaccine formulation 3,1
sars-cov-2 mrna vaccine formulation 2,1
sars-cov-2 mrna vaccine formulation 1,1
sars-cov-2 mrna vaccine (cvncov),1
sars-cov-2 infection,1
sars-cov-2 igg antibody testing kit,1
sars-cov-2 igg,1
sars-cov-2 convalescent plasma treatment,1
sars-cov-2 rs/matrix-m1 adjuvant (initial vaccination period),1
sars-cov-2 antigen-specific cytotoxic t-lymphocytes,1
sars-cov-2 antigen rapid test,1
sars-cov-2 antibody testing,1
sars-cov-2 antibody test,1
sars-cov-2 antibody immunoassays,1
sars-cov-2 antibody based ivig therapy,1
sars-cov-2 antibody analysis,1
sars-cov-2 neutralizing antibody titer,1
sars-cov-2 non-immune plasma,1
sars-cov-2 pcr and serology tests,1
sars-cov-2 plasma,1
sars-cov-2 rs/matrix-m1 adjuvant (crossover vaccination period),1
sars-cov-2 rs/matrix-m1 adjuvant,1
"sars-cov-2 rs/matrix-m adjuvant, days 0 and 21 - phase 2",1
"sars-cov-2 rs/matrix-m adjuvant, day 0 - phase 2",1
"sars-cov-2 rs/matrix-m adjuvant, day 0 - phase 1",1
sars-cov-2 rs/matrix-m adjuvant - phase 1,1
sars-cov-2 rs/matrix-m adjuvant - day 189 - phase 2,1
sars-cov-2 rs/matrix m1-adjuvant,1
sars-cov-2 rs - phase 1,1
"sars-cov-2 research in nasopharyngeal swab, sperm and serologics",1
sars-cov-2 recombinant protein vaccine formulation 3,1
sars-cov-2 recombinant protein vaccine formulation 2,1
sars-cov-2 recombinant protein vaccine formulation 1,1
"sars-cov-2 rapid diagnostic test (covid-presto® igm/igg, aaz, boulogne-billancourt, france)",1
sars-cov-2 questionnaire survey,1
rna vaccine,1
rivaroxaban 2.5 mg,1
rivaroxaban 15mg tab,1
recombinant human interferon alpha-1b,1
recombinant novel coronavirus vaccine (adenovirus type 5 vector) -placebo,1
recombinant new coronavirus vaccine (cho cell) group,1
recombinant ndv vectored vaccine for sars-cov-2,1
recombinant interferon alfa-2b,1
recombinant human plasma gelsolin (rhu-pgsn),1
recombinant human interferon α2b spray,1
recombinant human interferon α1β,1
recombinant human anti-sars-cov-2 monoclonal antibody(25mg/kg;50mg/kg;100mg/kg),1
recombinant novel coronavirus vaccine (adenovirus type 5 vector) 0.5ml,1
recombinant human annexin a5,1
recombinant human angiotensin-converting enzyme 2 (rhace2),1
recombinant bacterial ace2 receptors -like enzyme of b38-cap (rbace2) plus aerosolized 13 cis retinoic acid,1
recombinant bacterial ace2 receptors -like enzyme of b38-cap (rbace2),1
recombinant ad5 vectored covid-19 vaccine,1
recharge,1
recently vaccination,1
recombinant novel coronavirus vaccine (adenovirus type 5 vector) 0.3ml,1
recombinant novel coronavirus vaccine (adenovirus type 5 vector) for inhalation,1
rehabilitation by concentric exercises,1
referral and digital brochure,1
regular care,1
regn10933 + regn10987,1
registery data collection,1
regeneron casirivimab + imdevimab,1
regadenoson,1
reframing,1
referral card,1
reference: favipiravir 200 mg (avigan),1
recombinant sars-cov-2 ad5 vectored vaccine,1
rectal swab,1
recovered covid 19 patients plasma,1
recordings of cough sounds from adults,1
recording of respiratory monitoring,1
recording of hemodynamic monitoring,1
recombinase aided amplification (raa) assay,1
recombinant two-component covid-19 vaccine (cho cell),1
realtime pcr,1
real-time cgm,1
reading a book,1
random donor plasma,1
rapid antigen test for sars cov2,1
rapid antigen test (panbio ag test),1
rapid antigen test,1
rapid antibody test,1
rapamycin,1
rapa-501-allo off-the-shelf therapy of covid-19,1
randomized booster,1
ramipril 2.5 mg oral capsule,1
rdv placebo,1
ramelteon 8mg,1
"raman analysis of saliva, characterization of the raman database and building of the classification model",1
radx chcs testing intervention strategy,1
radius ppg tetherless pulse oximetry (masimo),1
radiotherapy,1
radiological detection,1
radiofrequency therapy,1
rapid antigen testing and offsite pcr testing,1
rapid antigen testing and onsite pcr testing,1
rapid antigen testing versus rt-pcr,1
rapid detection test,1
rdv,1
rd-x19,1
rbt-9 (90 mg),1
rbd-based protein subunit vaccine (zf2001) against covid-19,1
rba-2,1
razuprotafib subcutaneous solution,1
rayaldee 30mcg extended-release (er) capsule,1
rarefaction,1
rapid-3,1
rapid serological test,1
rapid salivary test,1
rapid pathogen detection,1
rapid onsite covid-19 detection,1
rapid nasopharyngeal antigen test for sars-cov-2,1
rapid molecular test,1
regular inpatient medical care,1
rehabilitation by eccentric exercises,1
ritonavir/lopinavir,1
"respiratory symptoms, symptoms of anxiety and depression, and post-traumatic stress screening",1
retrospective data and biological samples,1
retrospective case-control analysis,1
resveratrol placebo,1
restore: recovering from extreme stressors through online resources and e-health,1
resting 12 lead ecg,1
respiratory training,1
respiratory tele-rehabilitation program (trr).,1
respiratory swabs,1
reverse transcription polymerase chain reaction,1
respiratory supports,1
respiratory rehabilitation program (rr).,1
respiratory rehabilitation,1
respiratory physiotherapy,1
respiratory muscles ultrasound,1
respiratory monitoring,1
respiratory mechanics measurement,1
retrospective metagenomics on clinical samples collected during hospitalization,1
reverse-transcription polymerase chain reaction (rt-pcr),1
rehabilitation exercise protocol,1
rhtpo,1
ritonavir+oseltamivir,1
ritonavir,1
risankizumab,1
rintatolimod,1
ringer solution,1
ribavirin capsules,1
ria-device (remote investigation and assessment),1
mf59 adjuvanted sars-cov-2 sclamp vaccine 5mcg,1
review of medical file,1
rhdnase i,1
rhace2 apn01,1
reward re-training,1
revoxa oxygen rebrearther,1
revised home-cov score,1
reviewed clinical records and laboratory results,1
review of medical patient file,1
respiratory mechanics,1
respiratory infections,1
respiratory functions,1
remdesivir (rdv),1
remote ischemic conditioning,1
remote controlled exercise,1
remote consultation,1
remote cognitive behavioral therapy for insomnia,1
remote automated monitoring system,1
remimazolam,1
remdesivir-hu,1
remain covid free ssi,1
respiratory function rehabilitation training,1
relationship scales questionnaire (rsq),1
relation between frailty and clinical outcomes in elderly patients with covid-19.,1
rejuveinix (rjx) active comparator,1
reinforcement learning message delivery,1
rehabilitation-focused program,1
rehabilitation protocol through a digital platform,1
rehabilitation programme,1
remote monitoring of covid-19,1
remote problem management plus,1
remote pulmonary rehabilitation,1
remote service delivery model,1
respiratory exercise training,1
respiratory and psychological rehabilitation,1
resp301,1
resp-aer-meter,1
resp,1
resistance training,1
resilience program,1
research specific blood sample,1
rescure™,1
"reporting of anosmia, ageusia and other clinical symptoms",1
repeat sars-cov-2 igg antibodies at 45-65 days,1
renin-angiotensin system inhibitors,1
removal of dead space filter,1
"remotely monitored, mhealth (remm) supported high intensity interval training (hiit)",1
"remote sms (short message service, also known as ""text message"") delivery",1
scb-2019 with cpg 1018 adjuvant plus alum adjuvant,1
sch intervention,1
student-senior isolation prevention partnership (ssipp),1
spironolactone 100mg,1
stabilized hypochlorous acid,1
st266,1
st. george's respiratory questionnaire (sgrq),1
sse educational intervention,1
sras-cov-2 vaccination immunological response,1
sputum analysis,1
sputnik v,1
spironolactone + dexamethasone,1
staff will wear and evaluate bubble-papr (non-ce marked papr),1
"spirometry, thoracic ct, cpet, 6 minute walking test, sf-36 questionnaire",1
spin-chat program,1
spike protein (s) or the nucleocapsid (n) of sars-cov-2,1
sphenopalatine ganglion block with placebo (isotone nacl),1
sphenopalatine ganglion block with local anesthetic,1
sperm test,1
sperm collection,1
staff wellbeing centres,1
stakeholder of tip-oa program,1
speed of processing training,1
standard covid-19 therapies,1
standard message,1
standard medical care,1
standard mask,1
standard interface,1
standard guidelines,1
standard enteral nutrition,1
standard donor plasma,1
standard concomitant therapy,1
standar medical treatmen,1
standard charity resources,1
standard care plus monitoring,1
standard care delivered in the isolation hospitals.,1
standard administration of oxygen flow,1
"standard 12-lead ecg, nt-probnp, echocardiography",1
standard (specific) therapy for covid-19,1
standar of care,1
speq (specific psychotic experiences questionnaire) - paranoia and grandiosity subscales,1
specimens specific for the study,1
scheduled surgery,1
"sodium chloride, usp, for injection (0.9% nacl)",1
sofosbuvir ledipsavir,1
sofosbuvir and ledipasvir,1
sofosbuvir 400 mg/ daclatasvir 60mg,1
sofosbuvir 400 mg plus daclatasvir 200mg,1
sodium pyruvate nasal spray,1
sodium pyruvate,1
sodium nitrite,1
"sodium chloride, 0.9%",1
software messaging,1
sodium chloride 9mg/ml,1
sodium chloride 0.9%,1
sodium chloride,1
sodium bicarbonate 150meq/l/d5w inj,1
socialization,1
social proof,1
social network strategy + covid-19 messaging,1
sofosbuvir plus ledipasvir,1
sofusbuvir + daclastavir 60 mg,1
specimen collection,1
spartan covid-19 platform,1
specific exercise rehabilitation treatment,1
specific antibody and cellular immune response after anti-sars-cov-2 vaccine administration,1
specific anti-sars-cov-2 antibodies,1
spartan cube point-of care covid-19 test,1
spartan covid-19 v2 system,1
spartan covid-19 test,1
spartan covid-19 system,1
space parenting program,1
soluble urokinase plasminogen activator receptor,1
soton hyperinflammation score,1
soterix tavns model 0125-lte stimulator - sham-active group,1
soterix tavns model 0125-lte stimulator - active-active group,1
sonoclot,1
"sonclot coagulation and platelet function analyzer scp1, sienco, usa",1
sona saliva c-19 rapid test,1
solution-focused support program,1
standard of care (intravenous access),1
standard of care (paracetamol),1
standard of care (soc) + ang-3777,1
standards of care,1
stem cells,1
stem cell product,1
stem cell educator-treated mononuclear cells apheresis,1
steam inhalations,1
stc-19 score,1
statins (cardiovascular agents),1
state-trait anxiety inventory scale,1
standardized lung ultrasound (lus) examination,1
sterile normal saline (0.9%),1
standardized crisis management and coping protocol plan toward coronavirus disease 2019 (covid-19),1
standardized brazilian green propolis extract,1
standardised questionnaires,1
standard-titer convalescent covid-19 plasma (ccp2),1
standard-of-care treatment,1
standard-of-care sars-cov-2 treatment,1
standard-of-care,1
stepped-care model,1
sterile normal saline for intravenous use,1
standard of care (soc) + placebo,1
storage of operating waste,1
structured telephone support (sts),1
striveweekly,1
stress first aid,1
stress and emotion management,1
stress and anxiety questionnaire,1
stp + standard plasma (sp),1
stp + covid-19 convalescent plasma (cp),1
stools,1
sterile water for injection,1
stool collection or fecal swab,1
stool collection,1
stool analysis,1
stimulation test with arginine infusion in order to verify the possible existence of damage to the beta cell function induced by covid-19 infection,1
stigma awareness video intervention,1
sti-5656,1
steroid taper (prednisone),1
standard western medicine treatment,1
standard ventilation strategy,1
standard treatment of covid-19,1
standard of care thromboprophylaxis,1
standard oxygen therapy,1
standard oxygen delivery system,1
standard operating procedures,1
standard of health care,1
standard of care_2,1
standard of care_1,1
standard of care.,1
standard of care therapy,1
standard treatment according to the clinical protocols,1
standard of care therapies,1
standard of care management,1
standard of care for sars-cov-2 infection,1
standard of care for covid-19 as per the hospital guidelines,1
standard of care (soc) plus placebo,1
standard of care (soc) for covid-19,1
standard of care (soc) and colchicine+rosuvastatin,1
standard physiotherapy program,1
standard plasma (ffp),1
standard procedure,1
standard prophylactic dose enoxaparin/ unfractionated heparin,1
standard therapy recommended by the ministry of health of the russian federation.,1
standard therapy recommended by the ministry of health of the russian federation and dalargin intramuscular injection combined with dalargin inhalation,1
standard therapy recommended by the ministry of health of the russian federation and dalargin intramuscular injection,1
standard therapy recommended by the ministry of health of the russian federation and dalargin inhalation,1
standard therapy protocol (stp),1
standard therapy for covid-19 patient,1
standard therapy for covid-19 according to the stablished hospital protocols.,1
standard therapeutic protocol,1
standard supportive care,1
standard screening strategy,1
standard response team,1
"standard q covid-19 ag - test, produced by sd biosensor inc.",1
standard public health measures,1
standard pt,1
standard protocol,1
social media & news consumption,1
social distancing advertisements,1
social and public health measures against covid-19,1
seraph®-100 microbind® affinity blood filter,1
serologic sars-cov-2 screening,1
serologic immunoassays to sars-cov-2 antibodies,1
serologic immune response evaluation,1
serologic assays for antibodies to sars-cov-2,1
serodiagnosis of igg and igm,1
serial seroconversion measurements in hospital employees during the covid-19 pandemic,1
"serelogy testing, rt pcr",1
sequencing,1
serologic testing,1
sequence of testing.,1
separic-covid19 cohort,1
sentinox--group b,1
sentinox--group a,1
senti v1.0 device,1
sensiumvitals wearable sensor,1
sensbiosys,1
serologic test,1
serological analyses to be lead on a pre-existing biobank,1
seroprevalence of sars-cov-2 infection in patients with hiv infection,1
serological testing for covid-19 infection,1
"serology testing, rt pcr",1
serology testing profiles description,1
serology test follow-up,1
serology sars-cov2,1
serology for covid-19,1
serological tests will be applied on patients blood sampling,1
serological tests for sars cov-2,1
serological test for the detection of igg anti-sars-cov-2,1
serological assay for sars-cov-2,1
serological test for covid-19.,1
serological test and phone interview,1
serological surveillance,1
serological screening for igg and igm antibodies against covid-19,1
serological screening,1
serological covid-19 vaccine immunogenicity,1
serological assay or igg for sars-cov-2,1
senior fitness test,1
senicapoc,1
sending thorax ct video images via smartphone applications,1
"selenium, zinc and copper, vitamin a, d, e plasma concentrations during patient hospitalization",1
self-benefit,1
self-assesment questionnaire,1
self-administered structured questionnaire,1
self-administered questionnaires,1
self-acupressure,1
self study,1
self measurement with pulse oximeter,1
selenium (as selenious acid),1
semi-structured telephone questionnaire,1
secukinumab 150 mg/ml subcutaneous solution [cosentyx],1
secret questionnaire,1
sd biosensor,1
scta01 placebo,1
screening testing strategy,1
screening test for covid ( rt pcr and ct chest),1
schirmer test i,1
self-breathe,1
self-care tools,1
"self-collected, home-based testing",1
self-compassion for chronic pain virtual group treatment program,1
semi-structured interviews-patients,1
semi-structured interviews-health system,1
semi-directed entretien,1
semen qualitative analysis,1
semen analysis,1
semaglutide,1
self-questionnary,1
self-prone position recommendation,1
self-management booklet (switch: stay well during covid-19),1
self-interest message,1
self-help therapy,1
self-help mindfulness/compassion exercises,1
self-help booklet,1
self-guided exercises,1
self-focused acts,1
serology to determine sars-cov-2 infection,1
serum chemistry analysis,1
social,1
sirolimus 1 mg/ml,1
six minutes walk test,1
six minute walk test (6mwt),1
sitagliptin,1
sit-to-stand test,1
sit to stand test,1
sirukumab,1
sirtuin1,1
sir1-365,1
six-month arv dispensing,1
sinopharm vaccine,1
sinopharm,1
singstrong: strong lungs through song,1
single-nucleotide polymorphisms (snp) within the tcra/d region,1
single passive leg movement,1
single high dose vitamin d,1
single fraction whole lung radiotherapy,1
six-minute walk test (6mwt),1
skin biopsy,1
"serum collection, adverse events collection",1
sndx-6352,1
soc therapy,1
soc plus placebo iv,1
soc plus 15mg/kg eb05 iv,1
soc + intravenous famotidine,1
soc + ifx-1,1
soap distributed but no activities of the hbcc project,1
sno,1
sms-based support,1
sledd with a l-mod,1
sms message support,1
smoliv,1
smell training,1
smell household items,1
smartphone-based voice and self-reported symptom collection,1
sm-ema,1
slef questionnaires fulfilment,1
simulation of repurposed drugs for covid-19,1
simulation intervention,1
simple cognitive task,1
severe acute respiratory syndrome coronavirus 2 detection,1
sg diagnostics covid-19 antigen rapid test kit,1
sfrms/splf cpap-telemonitoring diagnosis/therapeutic algorithm.,1
"sf12, eq-5d-5l and work status standardized quantitative assessments",1
sf-12,1
sevoflurane inhalant product,1
severity of lung involvement with covid-19.,1
severe covid-19 pneumonia with et,1
service of questionnaire,1
simple chest tomography,1
"serum zinc, vitamin d vitamin b12 levels .",1
serum tube collection,1
serum test,1
serum sars cov 2 igg screening in health care workers,1
serum protein level analysis,1
serum ngal and cystatin c,1
serum inflammatory biomarkers,1
sham,1
sham acupressure group,1
sham device treatment,1
sham inflation,1
simha kriya,1
sildenafil citrate tablets,1
sildenafil,1
shorter duration higher frequency pt,1
shock-dependent hydrocortisone,1
"shingrix (zoster vaccine recombinant, adjuvanted)",1
shg,1
shared decision making,1
shanshamani vati plus,1
shampoo and saline,1
shampoo and listerine,1
sham treatment,1
sham transcranial direct-current stimulation,1
sham irradiation,1
sham intervention,1
mfs,1
low dose whole lung radiotherapy for older patients with covid-19 pneumonitis,1
mf59 adjuvanted sars-cov-2 sclamp vaccine 45mcg,1
clinical decision support system based on non-invasive multimodal monitoring,1
"clinical, laboratory and imaging characteristics of pneumonia",1
"clinical, functional and radiological lung involvement evolution",1
clinical trial matching,1
clinical observation,1
clinical interview,1
clinical features and laboratory values,1
clinical diagnosis of covid-19 by a health care professional,1
clia of igg and igm against sars-cov-2,1
cliniporator,1
clbs119,1
clazakizumab 25 mg,1
clazakizumab 12.5 mg,1
clarithromycin 500mg,1
clarithromycin,1
ckd-314+soc,1
ckd-314 placebo+soc,1
clinician endorsement,1
cliniporator® and epsgun,1
cimetra-2,1
cnm-znag,1
cod liver oil,1
coca is an observational study based on retrospective data issued from patient medial file.,1
"coaching, cleaning, communication, collaboration",1
co-ultrapealut,1
co-trimoxazole,1
co-mestring (co-coping),1
cns magnetic resonance imaging (mri) imaging,1
cm4620-ie (injectable emulsion),1
clofazimine,1
clungene rapid test cassette,1
